District,LBCode,LBName,Assembly
ALAPPUZHA,G04056,Chettikulangara,Kayamkulam
ALAPPUZHA,G04057,Chennithala Thripperuthura,Chengannur
ALAPPUZHA,G04058,Thazhakkara,Mavelikkara
ALAPPUZHA,G04059,Mannar,Chengannur
ALAPPUZHA,G04060,Chunakkara,Mavelikkara
ALAPPUZHA,G04061,Nooranad,Mavelikkara
ALAPPUZHA,G04062,Palamel,Mavelikkara
ALAPPUZHA,G04063,Bharanikkavu,Kayamkulam
ALAPPUZHA,G04064,Mavelikkara - Thamarakkulam,Mavelikkara
ALAPPUZHA,G04065,Vallikunnam,Mavelikkara
ALAPPUZHA,G04066,Pathiyoor,Kayamkulam
ALAPPUZHA,G04067,Kandalloor,Kayamkulam
ALAPPUZHA,G04068,Cheppad,Harippad
ALAPPUZHA,G04069,Muthukulam,Harippad
ALAPPUZHA,G04070,Aarattupuzha,Harippad
ALAPPUZHA,G04071,Krishnapuram,Kayamkulam
ALAPPUZHA,G04072,Devikulangara,Kayamkulam
ALAPPUZHA,G04073,Chingoli,Harippad
ALAPPUZHA,M04011,Kayamkulam,Kayamkulam
ALAPPUZHA,M04012,Mavelikkara,Mavelikkara
ALAPPUZHA,M04013,Chengannur,Chengannur
ALAPPUZHA,M04015,Cherthala,Cherthala
ALAPPUZHA,M04062,Harippad,Harippad
ERNAKULAM,G07001,Chendamangalam,Paravur
ERNAKULAM,G07002,Kottuvally,Paravur
ERNAKULAM,G07003,Ezhikkara,Paravur
ERNAKULAM,G07004,Vadakkekara,Paravur
ERNAKULAM,G07005,Chittattukara,Paravur
ERNAKULAM,G07006,Karumalloor,Kalamassery
ERNAKULAM,G07007,Varapuzha,Paravur
ERNAKULAM,G07008,Alangad,Kalamassery
ERNAKULAM,G07009,Kadungalloor,Kalamassery
ERNAKULAM,G07010,Mookkanoor,Angamaly
ERNAKULAM,G07011,Thuravoor,Angamaly
ERNAKULAM,G07012,Manjapra,Angamaly
ERNAKULAM,G07013,Karukutty,Angamaly
ERNAKULAM,G07014,Ayyampuzha,Angamaly
ERNAKULAM,G07015,Kanjoor,Aluva
ERNAKULAM,G07016,Kalady,Angamaly
ERNAKULAM,G07017,Malayattoor- Neeleeswaram,Angamaly
ERNAKULAM,G07018,Asamannur,Perumbavoor
ERNAKULAM,G07019,Mudakkuzha,Perumbavoor
ERNAKULAM,G07020,Vengoor,Perumbavoor
ERNAKULAM,G07021,Rayamangalam,Perumbavoor
ERNAKULAM,G07022,Koovappady,Perumbavoor
ERNAKULAM,G07023,Okkal,Perumbavoor
ERNAKULAM,G07024,Vengola,Perumbavoor
ERNAKULAM,G07025,Vazhakkulam,Kunnathunad
ERNAKULAM,G07026,Kizhakkambalam,Kunnathunad
ERNAKULAM,G07027,Choornikkara,Aluva
ERNAKULAM,G07028,Edathala,Aluva
ERNAKULAM,G07029,Keezhmadu,Aluva
ERNAKULAM,G07030,Kadamakkudy,Vypin
ERNAKULAM,G07031,Cheranallur,Ernakulam
ERNAKULAM,G07032,Mulavukadu,Vypin
ERNAKULAM,G07033,Elamkunnapuzha,Vypin
ERNAKULAM,G07034,Njarakkal,Vypin
ERNAKULAM,G07035,Nayarambalam,Vypin
ERNAKULAM,G07036,Edavanakad,Vypin
ERNAKULAM,G07037,Pallippuram,Vypin
ERNAKULAM,G07038,Kuzhuppilly,Vypin
ERNAKULAM,G07039,Chellanam,Kochi
ERNAKULAM,G07040,Kumbalanghy,Kochi
ERNAKULAM,G07041,Kumbalam,Thrippunithara
ERNAKULAM,G07042,Udayamperoor,Thrippunithara
ERNAKULAM,G07043,Mulamthuruthy,Piravom
ERNAKULAM,G07044,Chottanikara,Piravom
ERNAKULAM,G07045,Edakkattuvayal,Piravom
ERNAKULAM,G07046,Amballur,Piravom
ERNAKULAM,G07047,Maneedu,Piravom
ERNAKULAM,G07048,Poothrikka,Kunnathunad
ERNAKULAM,G07049,Thiruvaniyoor,Kunnathunad
ERNAKULAM,G07050,Vadavucode- Puthencruz,Kunnathunad
ERNAKULAM,G07051,Mazhuvannur,Kunnathunad
ERNAKULAM,G07052,Aikkaranadu,Kunnathunad
ERNAKULAM,G07053,Kunnathunad,Kunnathunad
ERNAKULAM,G07054,Paingottoor,Muvattupuzha
ERNAKULAM,G07055,Nellikuzhy,Kothamangalam
ERNAKULAM,G07056,Pindimana,Kothamangalam
ERNAKULAM,G07057,Kavalangad,Kothamangalam
ERNAKULAM,G07058,Varapetty,Kothamangalam
ERNAKULAM,G07059,Keerampara,Kothamangalam
ERNAKULAM,G07060,Pothanikkad,Muvattupuzha
ERNAKULAM,G07061,Pallarimangalam,Kothamangalam
ERNAKULAM,G07062,Kuttampuzha,Kothamangalam
ERNAKULAM,G07063,Kottapady,Kothamangalam
ERNAKULAM,G07064,Elanji,Piravom
ERNAKULAM,G07066,Thirumaradi,Piravom
ERNAKULAM,G07068,Palakuzha,Muvattupuzha
ERNAKULAM,G07069,Pampakuda,Piravom
ERNAKULAM,G07070,Ramamangalam,Piravom
ERNAKULAM,G07071,Chengamanadu,Aluva
ERNAKULAM,G07072,Nedumbassery,Aluva
ERNAKULAM,G07073,Parakkadavu,Angamaly
ERNAKULAM,G07074,Kunnukara,Kalamassery
ERNAKULAM,G07075,Sreemoolanagaram,Aluva
ERNAKULAM,G07076,Puthenvelikara,Paravur
ERNAKULAM,G07077,Avoly,Muvattupuzha
ERNAKULAM,G07078,Arakkuzha,Muvattupuzha
ERNAKULAM,G07079,Paipra,Muvattupuzha
ERNAKULAM,G07080,Kalloorkad,Muvattupuzha
ERNAKULAM,G07081,Ayavana,Muvattupuzha
ERNAKULAM,G07082,Manjallur,Muvattupuzha
ERNAKULAM,G07083,Marady,Muvattupuzha
ERNAKULAM,G07084,Valakom,Muvattupuzha
ERNAKULAM,M07021,Thrippunithura,Thrippunithara
ERNAKULAM,M07022,Muvattupuzha,Muvattupuzha
ERNAKULAM,M07023,Kothamangalam,Kothamangalam
ERNAKULAM,M07024,Perumbavoor,Perumbavoor
ERNAKULAM,M07025,Aluva,Aluva
ERNAKULAM,M07026,Kalamassery,Kalamassery
ERNAKULAM,M07027,North Paravur,Paravur
ERNAKULAM,M07028,Angamaly,Angamaly
ERNAKULAM,M07029,Eloor,Kalamassery
ERNAKULAM,M07030,Thrikkakara,Thrikkakara
ERNAKULAM,M07031,Maradu,Thrippunithara
ERNAKULAM,M07066,Piravom,Piravom
ERNAKULAM,M07067,Kothattukulam,Piravom
IDUKKI,G06001,Adimali,Devikulam
IDUKKI,G06002,Konnathady,Idukki
IDUKKI,G06003,Baisonvalley,Devikulam
IDUKKI,G06004,Vellathooval,Devikulam
IDUKKI,G06005,Pallivasal,Devikulam
IDUKKI,G06006,Marayoor,Devikulam
IDUKKI,G06007,Munnar,Devikulam
IDUKKI,G06008,Kanthalloor,Devikulam
IDUKKI,G06009,Vattavada,Devikulam
IDUKKI,G06010,Santhanpara,Udumbanchola
IDUKKI,G06011,Chinnakanal,Devikulam
IDUKKI,G06012,Mankulam,Devikulam
IDUKKI,G06013,Devikulam,Devikulam
IDUKKI,G06014,Edamalakudy,Devikulam
IDUKKI,G06015,Pampadumpara,Udumbanchola
IDUKKI,G06016,Senapathy,Udumbanchola
IDUKKI,G06017,Karunapuram,Udumbanchola
IDUKKI,G06018,Rajakkad,Udumbanchola
IDUKKI,G06019,Nedumkandom,Udumbanchola
IDUKKI,G06020,Udumbanchola,Udumbanchola
IDUKKI,G06021,Rajakumary,Udumbanchola
IDUKKI,G06022,Vannappuram,Thodupuzha
IDUKKI,G06023,Udumbannoor,Thodupuzha
IDUKKI,G06024,Kodikulam,Thodupuzha
IDUKKI,G06025,Alakode,Thodupuzha
IDUKKI,G06026,Velliyamattom,Thodupuzha
IDUKKI,G06027,Karimannoor,Thodupuzha
IDUKKI,G06028,Kudayathoor,Idukki
IDUKKI,G06029,Idukki-Kanjikuzhy,Idukki
IDUKKI,G06030,Vathikudy,Idukki
IDUKKI,G06031,Arakulam,Idukki
IDUKKI,G06032,Kamakshy,Idukki
IDUKKI,G06033,Vazhathope,Idukki
IDUKKI,G06034,Mariyapuram,Idukki
IDUKKI,G06036,Upputhara,Peereumed
IDUKKI,G06037,Vandanmedu,Udumbanchola
IDUKKI,G06038,Kanchiyar,Idukki
IDUKKI,G06039,Erattayar,Udumbanchola
IDUKKI,G06040,Ayyappancoil,Peereumed
IDUKKI,G06041,Chakkupallam,Peereumed
IDUKKI,G06042,Kumaramangalam,Thodupuzha
IDUKKI,G06043,Muttom,Thodupuzha
IDUKKI,G06044,Edavetty,Thodupuzha
IDUKKI,G06045,Karimkunnam,Thodupuzha
IDUKKI,G06046,Manakkad,Thodupuzha
IDUKKI,G06047,Purapuzha,Thodupuzha
IDUKKI,G06048,Peruvanthanam,Peereumed
IDUKKI,G06049,Kumily,Peereumed
IDUKKI,G06050,Kokkayar,Peereumed
IDUKKI,G06051,Peermade,Peereumed
IDUKKI,G06052,Elappara,Peereumed
IDUKKI,G06053,Vandiperiyar,Peereumed
IDUKKI,M06020,Thodupuzha,Thodupuzha
IDUKKI,M06065,Kattappana,Idukki
KANNUR,G13001,Cheruthazham,Kalliassery
KANNUR,G13002,Madayi,Kalliassery
KANNUR,G13003,Ezhome,Kalliassery
KANNUR,G13004,Cherukunnu,Kalliassery
KANNUR,G13005,Mattool,Kalliassery
KANNUR,G13006,Kannapuram,Kalliassery
KANNUR,G13007,Kalliassery,Kalliassery
KANNUR,G13008,Narath,Azheekode
KANNUR,G13009,Cherupuzha,Payyanur
KANNUR,G13010,Peringome Vayakkara,Payyanur
KANNUR,G13011,Eramam- Kuttoor,Payyanur
KANNUR,G13012,Kankole- Alapadamba,Payyanur
KANNUR,G13013,Karivellur- Peralam,Payyanur
KANNUR,G13014,Kunhimangalam,Kalliassery
KANNUR,G13015,Ramanthali,Payyanur
KANNUR,G13016,Udayagiri,Irikkur
KANNUR,G13017,Alakode,Irikkur
KANNUR,G13018,Naduvil,Irikkur
KANNUR,G13019,Chapparapadavu,Taliparamba
KANNUR,G13020,Chengalayi,Irikkur
KANNUR,G13021,Kurumathoor,Taliparamba
KANNUR,G13022,Pariyaram,Taliparamba
KANNUR,G13023,Pattuvam,Kalliassery
KANNUR,G13024,Kadannappalli- Panappuzha,Kalliassery
KANNUR,G13025,Irikkur,Irikkur
KANNUR,G13026,Eruvessy,Irikkur
KANNUR,G13027,Malappattam,Taliparamba
KANNUR,G13028,Payyavoor,Irikkur
KANNUR,G13029,Mayyil,Taliparamba
KANNUR,G13031,Padiyoor Kalliad,Mattannur
KANNUR,G13032,Ulikkal,Irikkur
KANNUR,G13033,Kuttiattoor,Taliparamba
KANNUR,G13034,Chirakkal,Azheekode
KANNUR,G13037,Valapattanam,Azheekode
KANNUR,G13038,Azheekode,Azheekode
KANNUR,G13039,Pappinissery,Azheekode
KANNUR,G13040,Kolachery,Taliparamba
KANNUR,G13041,Munderi,Kannur
KANNUR,G13045,Chembilode,Dharmadam
KANNUR,G13046,Kadambur,Dharmadam
KANNUR,G13047,Peralassery,Dharmadam
KANNUR,G13048,Muzhappilangad,Dharmadam
KANNUR,G13049,Vengad,Dharmadam
KANNUR,G13050,Dharmadam,Dharmadam
KANNUR,G13051,Eranholi,Thalassery
KANNUR,G13052,Pinarayi,Dharmadam
KANNUR,G13053,New Mahe,Thalassery
KANNUR,G13054,Ancharakandy,Dharmadam
KANNUR,G13055,Thripangottoor,Koothuparamba
KANNUR,G13056,Chittariparamba,Mattannur
KANNUR,G13057,Pattiam,Koothuparamba
KANNUR,G13058,Kunnothuparamba,Koothuparamba
KANNUR,G13059,Mangattidam,Mattannur
KANNUR,G13060,Kottayam,Koothuparamba
KANNUR,G13061,chockli,Thalassery
KANNUR,G13065,Panniyannur,Thalassery
KANNUR,G13066,Mokeri,Koothuparamba
KANNUR,G13067,Kadirur,Thalassery
KANNUR,G13068,Aralam,Peravoor
KANNUR,G13069,Ayyankunnu,Peravoor
KANNUR,G13070,Keezhallur,Mattannur
KANNUR,G13071,Thillankeri,Mattannur
KANNUR,G13072,Koodali,Mattannur
KANNUR,G13073,Payam,Peravoor
KANNUR,G13075,Kanichar,Peravoor
KANNUR,G13076,Kelakam,Peravoor
KANNUR,G13077,Kottiyoor,Peravoor
KANNUR,G13078,Muzhakkunnu,Peravoor
KANNUR,G13079,Kolayad,Mattannur
KANNUR,G13080,Malur,Mattannur
KANNUR,G13081,Peravoor,Peravoor
KANNUR,M13053,Taliparamba,Taliparamba
KANNUR,M13054,Koothuparamba,Koothuparamba
KANNUR,M13055,Thalassery,Thalassery
KANNUR,M13056,Payyannur,Payyanur
KANNUR,M13083,Iritty,Peravoor
KANNUR,M13084,Panoor,Koothuparamba
KANNUR,M13085,Sreekandapuram,Irikkur
KANNUR,M13086,Anthoor,Taliparamba
KASARGOD,G14001,Kumbadaje,Kasargode
KASARGOD,G14002,Bellur,Kasargode
KASARGOD,G14003,Karadka,Kasargode
KASARGOD,G14004,Muliyar,Udma
KASARGOD,G14005,Delampady,Udma
KASARGOD,G14006,Bedadka,Udma
KASARGOD,G14007,Kuttikkol,Udma
KASARGOD,G14008,Manjeshwar,Manjeshwar
KASARGOD,G14009,Vorkady,Manjeshwar
KASARGOD,G14010,Meenja,Manjeshwar
KASARGOD,G14011,Mangalpady,Manjeshwar
KASARGOD,G14012,Paivalike,Manjeshwar
KASARGOD,G14013,Puthige,Manjeshwar
KASARGOD,G14014,Enmakaje,Manjeshwar
KASARGOD,G14015,Kumbla,Manjeshwar
KASARGOD,G14016,Badiadka,Kasargode
KASARGOD,G14017,Mogralputhur,Kasargode
KASARGOD,G14018,Madhur,Kasargode
KASARGOD,G14019,Chemnad,Udma
KASARGOD,G14020,Chengala,Kasargode
KASARGOD,G14021,Udma,Udma
KASARGOD,G14022,Pallikkara,Udma
KASARGOD,G14023,Ajanur,Kanhangad
KASARGOD,G14024,Pullur-Periya,Udma
KASARGOD,G14025,Madikai,Kanhangad
KASARGOD,G14026,Kodom -Belur,Kanhangad
KASARGOD,G14027,Kallar,Kanhangad
KASARGOD,G14028,Panathady,Kanhangad
KASARGOD,G14029,Balal,Kanhangad
KASARGOD,G14030,Kinanoor - Karindalam,Kanhangad
KASARGOD,G14031,West Eleri,Trikaripur
KASARGOD,G14032,East Eleri,Trikaripur
KASARGOD,G14033,Kayyur -  Cheemeni,Trikaripur
KASARGOD,G14034,Cheruvathur,Trikaripur
KASARGOD,G14035,Valiyaparamba,Trikaripur
KASARGOD,G14036,Padne,Trikaripur
KASARGOD,G14037,Pilicode,Trikaripur
KASARGOD,G14038,Trikaripur,Trikaripur
KASARGOD,M14058,Kanhangad,Kanhangad
KASARGOD,M14059,Kasaragod,Kasargode
KASARGOD,M14060,Nileshwar,Trikaripur
KOLLAM,G02001,Oachira,Karunagappally
KOLLAM,G02002,Kulasekharapuram,Karunagappally
KOLLAM,G02003,Thazhava,Karunagappally
KOLLAM,G02004,Clappana,Karunagappally
KOLLAM,G02005,Alappad,Karunagappally
KOLLAM,G02006,Thodiyoor,Karunagappally
KOLLAM,G02007,Sasthamcotta,Kunnathur
KOLLAM,G02008,West Kallada,Kunnathur
KOLLAM,G02009,Sooranad South,Kunnathur
KOLLAM,G02010,Poruvazhi,Kunnathur
KOLLAM,G02011,Kunnathur,Kunnathur
KOLLAM,G02012,Sooranad North,Kunnathur
KOLLAM,G02013,Mynagappally,Kunnathur
KOLLAM,G02014,Ummannoor,Kottarakkara
KOLLAM,G02015,Vettikavala,Pathanapuram
KOLLAM,G02016,Melila,Pathanapuram
KOLLAM,G02017,Mylom,Kottarakkara
KOLLAM,G02018,Kulakkada,Kottarakkara
KOLLAM,G02019,Pavithreswaram,Kunnathur
KOLLAM,G02020,Vilakkudy,Pathanapuram
KOLLAM,G02021,Thalavoor,Pathanapuram
KOLLAM,G02022,Piravanthur,Pathanapuram
KOLLAM,G02023,Pattazhi Vadakkekara,Pathanapuram
KOLLAM,G02024,Pattazhi,Pathanapuram
KOLLAM,G02025,Pathanapuram,Pathanapuram
KOLLAM,G02026,Kulathupuzha,Punalur
KOLLAM,G02027,Yeroor,Punalur
KOLLAM,G02028,Alayaman,Chadayamangalam
KOLLAM,G02029,Anchal,Punalur
KOLLAM,G02030,Edamulakkal,Punalur
KOLLAM,G02031,Karavaloor,Punalur
KOLLAM,G02032,Thenmala,Punalur
KOLLAM,G02033,Aryankavu,Punalur
KOLLAM,G02034,Veliyam,Kottarakkara
KOLLAM,G02035,Pooyappally,Chathannur
KOLLAM,G02036,Kareepra,Kottarakkara
KOLLAM,G02037,Ezhukone,Kottarakkara
KOLLAM,G02038,Neduvathur,Kottarakkara
KOLLAM,G02041,Thrikkaruva,Kollam
KOLLAM,G02042,Panayam,Kollam
KOLLAM,G02043,Perinad,Kundara
KOLLAM,G02044,Kundara,Kundara
KOLLAM,G02045,Perayam,Kundara
KOLLAM,G02046,East Kallada,Kunnathur
KOLLAM,G02047,Mandrothuruthu,Kunnathur
KOLLAM,G02048,Thekkumbhagam,Chavara
KOLLAM,G02049,Chavara,Chavara
KOLLAM,G02050,Thevalakkara,Chavara
KOLLAM,G02051,Panmana,Chavara
KOLLAM,G02052,Neendakara,Chavara
KOLLAM,G02053,Mayyanad,Eravipuram
KOLLAM,G02054,Elampalloor,Kundara
KOLLAM,G02055,Thrikkovilvattom,Kundara
KOLLAM,G02056,Kottamkara,Kundara
KOLLAM,G02057,Nedumpana,Kundara
KOLLAM,G02058,Chithara,Chadayamangalam
KOLLAM,G02059,Kadakkal,Chadayamangalam
KOLLAM,G02060,Chadayamangalam,Chadayamangalam
KOLLAM,G02061,Ittiva,Chadayamangalam
KOLLAM,G02062,Velinalloor,Chadayamangalam
KOLLAM,G02063,Elamadu,Chadayamangalam
KOLLAM,G02064,Nilamel,Chadayamangalam
KOLLAM,G02065,Kummil,Chadayamangalam
KOLLAM,G02066,Poothakkulam,Chathannur
KOLLAM,G02067,Kalluvathukkal,Chathannur
KOLLAM,G02068,Chathannur,Chathannur
KOLLAM,G02069,Adichanalloor,Chathannur
KOLLAM,G02070,Chirakkara,Chathannur
KOLLAM,M02005,Paravoor,Chathannur
KOLLAM,M02006,Punalur,Punalur
KOLLAM,M02007,Karunagappally,Karunagappally
KOLLAM,M02087,Kottarakkara,Kottarakkara
KOTTAYAM,G05001,Thalayazham,Vaikom
KOTTAYAM,G05002,Chempu,Vaikom
KOTTAYAM,G05003,Maravanthuruthu,Vaikom
KOTTAYAM,G05004,T V Puram,Vaikom
KOTTAYAM,G05005,Vechoor,Vaikom
KOTTAYAM,G05006,Udayanapuram,Vaikom
KOTTAYAM,G05007,Kaduthuruthy,Kaduthuruthy
KOTTAYAM,G05008,Kallara,Vaikom
KOTTAYAM,G05009,Mulakkulam,Kaduthuruthy
KOTTAYAM,G05010,Njeezhoor,Kaduthuruthy
KOTTAYAM,G05011,Thalayolaparambu,Vaikom
KOTTAYAM,G05012,Velloor,Vaikom
KOTTAYAM,G05013,Neendoor,Ettumanoor
KOTTAYAM,G05014,Kumarakom,Ettumanoor
KOTTAYAM,G05015,Thiruvarppu,Ettumanoor
KOTTAYAM,G05016,Arpookkara,Ettumanoor
KOTTAYAM,G05017,Athirampuzha,Ettumanoor
KOTTAYAM,G05019,Aymanam,Ettumanoor
KOTTAYAM,G05020,Kadaplamattom,Kaduthuruthy
KOTTAYAM,G05021,Marangattupally,Kaduthuruthy
KOTTAYAM,G05022,Kanakkary,Kaduthuruthy
KOTTAYAM,G05023,Veliyannoor,Kaduthuruthy
KOTTAYAM,G05024,Kuravilangadu,Kaduthuruthy
KOTTAYAM,G05025,Uzhavoor,Kaduthuruthy
KOTTAYAM,G05026,Ramapuram,Pala
KOTTAYAM,G05027,Manjoor,Kaduthuruthy
KOTTAYAM,G05028,Bharananganam,Pala
KOTTAYAM,G05029,Karoor,Pala
KOTTAYAM,G05030,Kozhuvanal,Pala
KOTTAYAM,G05031,Kadanadu,Pala
KOTTAYAM,G05032,Meenachil,Pala
KOTTAYAM,G05033,Mutholy,Pala
KOTTAYAM,G05034,Melukavu,Pala
KOTTAYAM,G05035,Moonnilavu,Pala
KOTTAYAM,G05036,Poonjar,Poonjar
KOTTAYAM,G05037,Poonjar Thekkekkara,Poonjar
KOTTAYAM,G05039,Teekoy,Poonjar
KOTTAYAM,G05040,Thalanadu,Pala
KOTTAYAM,G05041,Thalappalam,Pala
KOTTAYAM,G05042,Thidanadu,Poonjar
KOTTAYAM,G05043,Akalakkunnam,Puthuppally
KOTTAYAM,G05044,Elikkulam,Pala
KOTTAYAM,G05045,Kooroppada,Puthuppally
KOTTAYAM,G05046,Pampady,Puthuppally
KOTTAYAM,G05047,Pallickathodu,Kanjirappally
KOTTAYAM,G05048,Manarcadu,Puthuppally
KOTTAYAM,G05049,Kidangoor,Kaduthuruthy
KOTTAYAM,G05050,Meenadom,Puthuppally
KOTTAYAM,G05051,Madappally,Changanassery
KOTTAYAM,G05052,Paippadu,Changanassery
KOTTAYAM,G05053,Thrikkodithanam,Changanassery
KOTTAYAM,G05054,Vakathanam,Puthuppally
KOTTAYAM,G05055,Vazhappally,Changanassery
KOTTAYAM,G05056,Chirakkadavu,Kanjirappally
KOTTAYAM,G05057,Kangazha,Kanjirappally
KOTTAYAM,G05058,Nedumkunnam,Kanjirappally
KOTTAYAM,G05059,Vellavoor,Kanjirappally
KOTTAYAM,G05060,Vazhoor,Kanjirappally
KOTTAYAM,G05061,Karukachal,Kanjirappally
KOTTAYAM,G05062,Manimala,Kanjirappally
KOTTAYAM,G05063,Erumely,Poonjar
KOTTAYAM,G05064,Kanjirappally,Kanjirappally
KOTTAYAM,G05065,Koottickal,Poonjar
KOTTAYAM,G05066,Mundakayam,Poonjar
KOTTAYAM,G05067,Koruthode,Poonjar
KOTTAYAM,G05068,Parathodu,Poonjar
KOTTAYAM,G05069,Kurichy,Changanassery
KOTTAYAM,G05070,Panachikadu,Kottayam
KOTTAYAM,G05071,Puthuppally,Puthuppally
KOTTAYAM,G05072,Vijayapuram,Kottayam
KOTTAYAM,G05073,Ayarkunnam,Puthuppally
KOTTAYAM,M05016,Changanassery,Changanassery
KOTTAYAM,M05017,Kottayam,Kottayam
KOTTAYAM,M05018,Vaikom,Vaikom
KOTTAYAM,M05019,Palai,Pala
KOTTAYAM,M05063,Ettumanoor,Ettumanoor
KOTTAYAM,M05064,Erattupetta,Poonjar
KOZHIKODE,G11001,Azhiyur,Vadakara
KOZHIKODE,G11002,Chorode,Vadakara
KOZHIKODE,G11003,Eramala,Vadakara
KOZHIKODE,G11004,Onchiyam,Vadakara
KOZHIKODE,G11005,Chekkiad,Nadapuram
KOZHIKODE,G11006,Purameri,Kuttiadi
KOZHIKODE,G11007,Thuneri,Nadapuram
KOZHIKODE,G11008,Valayam,Nadapuram
KOZHIKODE,G11009,Vanimel,Nadapuram
KOZHIKODE,G11010,Edacheri,Nadapuram
KOZHIKODE,G11011,Nadapuram,Nadapuram
KOZHIKODE,G11012,Kunnummal,Kuttiadi
KOZHIKODE,G11013,Velom,Kuttiadi
KOZHIKODE,G11014,Kayakkodi,Nadapuram
KOZHIKODE,G11015,Kavilumpara,Nadapuram
KOZHIKODE,G11016,Kuttiady,Kuttiadi
KOZHIKODE,G11017,Maruthonkara,Nadapuram
KOZHIKODE,G11018,Naripatta,Nadapuram
KOZHIKODE,G11019,Ayancheri,Kuttiadi
KOZHIKODE,G11020,Villiappally,Kuttiadi
KOZHIKODE,G11021,Maniyur,Kuttiadi
KOZHIKODE,G11022,Thiruvallur,Kuttiadi
KOZHIKODE,G11023,Thurayur,Perambra
KOZHIKODE,G11024,Keezhariyur,Perambra
KOZHIKODE,G11025,Thikkodi,Quilandy
KOZHIKODE,G11027,Meppayur,Perambra
KOZHIKODE,G11028,Cheruvannur,Perambra
KOZHIKODE,G11029,Nochad,Perambra
KOZHIKODE,G11030,Changaroth,Perambra
KOZHIKODE,G11031,Kayanna,Balusseri
KOZHIKODE,G11032,Koothali,Perambra
KOZHIKODE,G11033,Perambra,Perambra
KOZHIKODE,G11034,Chakkittappara,Perambra
KOZHIKODE,G11035,Balussery,Balusseri
KOZHIKODE,G11036,Naduvannur,Balusseri
KOZHIKODE,G11037,Kottur,Balusseri
KOZHIKODE,G11038,Ulliyeri,Balusseri
KOZHIKODE,G11039,Unnikulam,Balusseri
KOZHIKODE,G11040,Panangad,Balusseri
KOZHIKODE,G11041,Koorachundu,Balusseri
KOZHIKODE,G11042,Chemanchery,Quilandy
KOZHIKODE,G11043,Arikkulam,Perambra
KOZHIKODE,G11044,Moodadi,Quilandy
KOZHIKODE,G11045,Chengottukave,Quilandy
KOZHIKODE,G11046,Atholi,Balusseri
KOZHIKODE,G11047,Kakkodi,Elathur
